ubica_geo,entidad,desc_ent,municipio,desc_mun
1001,1,Aguascalientes,1,Aguascalientes
1002,1,Aguascalientes,2,Asientos
1003,1,Aguascalientes,3,Calvillo
1004,1,Aguascalientes,4,Cosio
1005,1,Aguascalientes,5,Jesus Maria
1006,1,Aguascalientes,6,Pabellon De Arteaga
1007,1,Aguascalientes,7,Rincon De Romos
1009,1,Aguascalientes,9,Tepezala
1010,1,Aguascalientes,10,El Llano
1011,1,Aguascalientes,11,San Francisco De Los Romo
2001,2,Baja California,1,Ensenada
2002,2,Baja California,2,Mexicali
2003,2,Baja California,3,Tecate
2004,2,Baja California,4,Tijuana
2005,2,Baja California,5,Playas De Rosarito
3001,3,Baja California Sur,1,Comondu
3002,3,Baja California Sur,2,Mulege
3003,3,Baja California Sur,3,La Paz
3008,3,Baja California Sur,8,Los Cabos
3009,3,Baja California Sur,9,Loreto
4001,4,Campeche,1,Calkini
4002,4,Campeche,2,Campeche
4003,4,Campeche,3,Carmen
4004,4,Campeche,4,Champoton
4005,4,Campeche,5,Hecelchakan
4006,4,Campeche,6,Hopelchen
4007,4,Campeche,7,Palizada
4009,4,Campeche,9,Escarcega
4010,4,Campeche,10,Calakmul
4011,4,Campeche,11,Candelaria
5002,5,Coahuila de Zaragoza,2,Acuña
5003,5,Coahuila de Zaragoza,3,Allende
5004,5,Coahuila de Zaragoza,4,Arteaga
5006,5,Coahuila de Zaragoza,6,Castaños
5007,5,Coahuila de Zaragoza,7,Cuatro Cienegas
5009,5,Coahuila de Zaragoza,9,Francisco I. Madero
5010,5,Coahuila de Zaragoza,10,Frontera
5011,5,Coahuila de Zaragoza,11,General Cepeda
5014,5,Coahuila de Zaragoza,14,Jimenez
5017,5,Coahuila de Zaragoza,17,Matamoros
5018,5,Coahuila de Zaragoza,18,Monclova
5019,5,Coahuila de Zaragoza,19,Morelos
5020,5,Coahuila de Zaragoza,20,Muzquiz
5022,5,Coahuila de Zaragoza,22,Nava
5024,5,Coahuila de Zaragoza,24,Parras
5025,5,Coahuila de Zaragoza,25,Piedras Negras
5026,5,Coahuila de Zaragoza,26,Progreso
5027,5,Coahuila de Zaragoza,27,Ramos Arizpe
5028,5,Coahuila de Zaragoza,28,Sabinas
5029,5,Coahuila de Zaragoza,29,Sacramento
5030,5,Coahuila de Zaragoza,30,Saltillo
5032,5,Coahuila de Zaragoza,32,San Juan De Sabinas
5033,5,Coahuila de Zaragoza,33,San Pedro
5035,5,Coahuila de Zaragoza,35,Torreon
5036,5,Coahuila de Zaragoza,36,Viesca
6001,6,Colima,1,Armeria
6002,6,Colima,2,Colima
6003,6,Colima,3,Comala
6004,6,Colima,4,Coquimatlan
6005,6,Colima,5,Cuauhtemoc
6006,6,Colima,6,Ixtlahuacan
6007,6,Colima,7,Manzanillo
6008,6,Colima,8,Minatitlan
